update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,average_reward_per_step,average_discounted_return,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,8192,377.56508300753535,21,1.0,0.0,1.0,1.0,0.11337477052415737,0.3853191214959072,11.74310595065312,6.3938842506144,3.0,38.0,1.3363289833068848,-0.45054835081100464,-0.353655107319355,0.19683540798723698,0.6968545803534869,1.0,0.0,1.0,1.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,average_reward_per_step,average_discounted_return,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,16384,224.65876498199643,58,1.0,0.0,1.0,1.0,0.12323393707261093,0.41368209651765747,10.897849462365592,6.080357560486055,3.0,42.0,1.2977165132761002,-0.35479225777089596,-0.33959536626935005,0.1664709858596325,0.6109429336711124,1.0,0.0,1.0,1.0
3,24576,145.20087473966493,114,1.0,0.0,1.0,1.0,0.1293275335689537,0.437360801695013,10.048543689320388,5.300675246922222,3.0,37.0,1.2665355056524277,-0.09887707093730569,-0.28805550187826157,0.10833270754665136,0.323233054540356,1.0,0.0,1.0,1.0
4,32768,142.3003164942998,172,1.0,0.0,1.0,1.0,0.14435120273320853,0.48300065062188957,8.85157096424702,4.734404771421144,3.0,40.0,1.2419535368680954,0.10489292116835713,-0.2464178241789341,0.06934947427362204,0.33871504979906497,1.0,0.0,1.0,1.0
5,40960,148.7531766112595,227,1.0,0.0,1.0,1.0,0.1628443319918528,0.5268669026175028,7.872502378686965,4.322282597126599,3.0,34.0,1.1828648000955582,0.21994019486010075,-0.2362126149237156,0.06372172338888049,0.38375210952032784,1.0,0.0,1.0,1.0
6,49152,148.86926742535084,282,1.0,0.0,1.0,1.0,0.18187419929444845,0.5753325069574042,6.771784232365145,3.46700399964109,3.0,33.0,1.1030686646699905,0.35870059952139854,-0.2121057827025652,0.05611453019082546,0.36754016152466934,1.0,0.0,1.0,1.0
7,57344,148.7130465737318,337,1.0,0.0,1.0,1.0,0.19084801009688926,0.5928440313486312,6.458758837391987,3.3817221425802417,3.0,30.0,1.0737012326717377,0.45260024070739746,-0.17573940567672253,0.04721831949427724,0.37309559768533035,1.0,0.0,1.0,1.0
8,65536,142.93414055074817,394,1.0,0.0,1.0,1.0,0.213891756354867,0.639831677667259,5.547118644067797,2.5738548882801426,3.0,18.0,0.9483847320079803,0.6036568731069565,-0.15159412659704685,0.03474387060850859,0.3038028618975096,1.0,0.0,1.0,1.0
9,73728,138.6530410957467,453,1.0,0.0,1.0,1.0,0.2261537228353561,0.6626919041204211,5.180555555555555,2.512639904028753,3.0,27.0,0.9121457636356354,0.6858381927013397,-0.10646941885352135,0.024204379180446267,0.2801754904159291,1.0,0.0,1.0,1.0
10,81920,148.33016783725142,509,1.0,0.0,1.0,1.0,0.2358405593005048,0.6802789963423479,4.862745098039215,2.1137152381365176,3.0,20.0,0.826427198946476,0.737490214407444,-0.06250783056020737,0.017849384108558297,0.21948640934283603,1.0,0.0,1.0,1.0
11,90112,148.76379556257686,564,1.0,0.0,1.0,1.0,0.252161266134243,0.7072150804148458,4.433676231727125,1.7677287203017402,3.0,18.0,0.7111631408333778,0.8076634183526039,-0.030563582200556993,0.007534321746788919,0.06458683415435292,1.0,0.0,1.0,1.0
12,98304,142.04198712912037,621,1.0,0.0,1.0,1.0,0.2823491446768101,0.7512898561370406,3.7761948529411766,1.128264644970831,3.0,11.0,0.51188138499856,0.8476356714963913,-0.029979405226185918,0.0033856405061669648,0.0531210848324425,1.0,0.0,1.0,1.0
13,106496,148.62038430600046,676,1.0,0.0,1.0,1.0,0.3016263526627848,0.7762946815741207,3.430067001675042,0.7307900514945259,3.0,10.0,0.37340910360217094,0.8689666092395782,-0.02179095637984574,0.0015838465478736907,0.037089325655098884,1.0,0.0,1.0,1.0
14,114688,148.52422024428375,732,1.0,0.0,1.0,1.0,0.3139998868009961,0.7902750879556261,3.247622820919176,0.5191406623527469,3.0,7.0,0.29634563997387886,0.8877026215195656,-0.005703381379134953,0.0007500606006942689,0.020441262168981653,1.0,0.0,1.0,1.0
15,122880,149.12441996896914,787,1.0,0.0,1.0,1.0,0.31760994015092375,0.7942097423887589,3.197111631537861,0.4494157131708671,3.0,6.0,0.2547680977731943,0.8944596126675606,0.0009576059601386078,0.0005360769428079948,0.012638356845365153,1.0,0.0,1.0,1.0
16,131072,148.9944505128683,842,1.0,0.0,1.0,1.0,0.32037179981988945,0.7970559436511001,3.161327672713238,0.40764833415624,3.0,6.0,0.22941519506275654,0.8948397189378738,0.0003260886514908634,0.0004512077575782314,0.01384732656759683,1.0,0.0,1.0,1.0
17,139264,149.0118018809518,897,1.0,0.0,1.0,1.0,0.3224008164306672,0.7990691848450061,3.1362418675851513,0.3790827727796742,3.0,6.0,0.2032640352845192,0.894638754427433,-0.0014318687244667672,0.0003998995161964558,0.012438232894152006,1.0,0.0,1.0,1.0
18,147456,148.2832209680907,952,1.0,0.0,1.0,1.0,0.323442664632596,0.8001360411899316,3.1228070175438596,0.35821839659752125,3.0,5.0,0.18116206116974354,0.8968700766563416,-0.0009259599901270121,0.00034939520628540777,0.011328941729746803,1.0,0.0,1.0,1.0
19,155648,148.92377898128217,1007,1.0,0.0,1.0,1.0,0.32586726998491705,0.8026421945701359,3.0912518853695325,0.302027490021559,3.0,5.0,0.16502333991229534,0.8979061469435692,-0.0018877074326155707,0.0002738617949944455,0.011803735390863363,1.0,0.0,1.0,1.0
20,163840,141.72645539782513,1065,1.0,0.0,1.0,1.0,0.3257243638196019,0.8024571428571431,3.0937263794406653,0.3115051710919905,3.0,5.0,0.14796654507517815,0.8976117596030235,0.00015733278542029439,0.0002679622375580948,0.012044410135755414,1.0,0.0,1.0,1.0
21,172032,151.0561632718184,1119,1.0,0.0,1.0,1.0,0.32664160401002507,0.8034408270676695,3.081203007518797,0.2812834109651472,3.0,5.0,0.1335456520318985,0.8985939025878906,-0.001877606424386613,0.00023611051256011706,0.012202018598994162,1.0,0.0,1.0,1.0
22,180224,151.13171672774294,1173,1.0,0.0,1.0,1.0,0.32724431107776947,0.8040085521380347,3.0742685671417855,0.2734122298866408,3.0,5.0,0.1204301780089736,0.8991011828184128,-0.000554855147129274,0.00020754895376740023,0.010544091612630892,1.0,0.0,1.0,1.0
23,188416,143.0740038056226,1230,1.0,0.0,1.0,1.0,0.3290036029320413,0.8057552739470742,3.0525531121878493,0.22972378947105734,3.0,5.0,0.11216439958661795,0.8999981582164764,0.0005606607228401117,0.00015552703916910104,0.007460865265990319,1.0,0.0,1.0,1.0
