update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,average_reward_per_step,average_discounted_return,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,8192,893.1723748207176,9,1.0,0.0,1.0,1.0,0.11199109894159745,0.3869195611483822,11.529243937232525,6.049563535651011,3.0,44.0,1.274867907166481,0.2301026452332735,-0.07794454228132963,0.06261673662811518,0.40712024561368376,1.0,0.0,1.0,1.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,average_reward_per_step,average_discounted_return,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,16384,1575.2967729964935,14,1.0,0.0,1.0,1.0,0.11747230817235833,0.40449396716676567,10.961281708945261,5.726507960118652,3.0,42.0,1.342089831829071,0.30168312415480614,-0.09564784355461597,0.051368891261518,0.29315172345252816,1.0,0.0,1.0,1.0
3,24576,1569.3783258707365,19,1.0,0.0,1.0,1.0,0.12342797325585002,0.4184860035598591,10.537179487179488,5.4483497613158525,3.0,44.0,1.2789202779531479,0.3506787084043026,-0.09206107910722494,0.03645687596872449,0.15142778206142976,1.0,0.0,1.0,1.0
4,32768,1375.8498617632756,25,1.0,0.0,1.0,1.0,0.1255908388876925,0.4344260946984522,9.901818181818182,4.780395225543249,3.0,41.0,1.270232006907463,0.3982881233096123,-0.0938430679962039,0.03072180785238743,0.23129634194977797,1.0,0.0,1.0,1.0
5,40960,1299.9521430854145,31,1.0,0.0,1.0,1.0,0.12750618746953596,0.4354380772436423,9.955151515151515,4.937345699138429,3.0,35.0,1.2667087465524673,0.43264027312397957,-0.08698736783117056,0.02253325330093503,0.14885535508607906,1.0,0.0,1.0,1.0
6,49152,1276.3414918524886,38,1.0,0.0,1.0,1.0,0.13768682188925224,0.4708374299138431,8.946389496717725,4.211629866542904,3.0,27.0,1.2574292868375778,0.5318474061787128,-0.07075666356831789,0.017607375513762236,0.22630142808206236,1.0,0.0,1.0,1.0
7,57344,1284.20586933644,44,1.0,0.0,1.0,1.0,0.15420721946781923,0.513127288304186,7.97378640776699,3.76858401378309,3.0,29.0,1.2214135974645615,0.5593972429633141,-0.08679794706404209,0.019827086245641112,0.25996836023542663,1.0,0.0,1.0,1.0
8,65536,1266.0201821218534,51,1.0,0.0,1.0,1.0,0.17408193826672555,0.5636776608622729,6.88309503784693,3.0782820198381997,3.0,22.0,1.1286122649908066,0.6321307942271233,-0.07982759829610586,0.01789582520723343,0.30308730335911904,1.0,0.0,1.0,1.0
9,73728,1285.536924822605,57,1.0,0.0,1.0,1.0,0.21464333028868102,0.6475365894591488,5.353285621340273,2.193793502904197,3.0,19.0,0.9808787554502487,0.6899262517690659,-0.09204428736120462,0.012710879789665341,0.10828110065150637,1.0,0.0,1.0,1.0
